Season,Team,Score,Country,Flag
1978–79,Köln,2,West Germany,23px-Flag_of_Germany.svg.png
1978–79,Austria Wien,2,Austria,23px-Flag_of_Austria.svg.png
1978–79,Grasshopper,1,Switzerland,16px-Flag_of_Switzerland_%28Pantone%29.svg.png
1978–79,Rangers,1,Scotland,23px-Flag_of_Scotland.svg.png
1978–79,Dynamo Dresden,1,East Germany,23px-Flag_of_East_Germany.svg.png
1978–79,Wisła Kraków,1,Poland,23px-Flag_of_Poland_%281927%E2%80%931980%29.svg.png
1979–80,Nottingham Forest,4,England,23px-Flag_of_England.svg.png
1979–80,Hamburg,3,West Germany,23px-Flag_of_Germany.svg.png
1979–80,Ajax,2,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1979–80,Real Madrid,2,Spain,23px-Flag_of_Spain_%281977%E2%80%931981%29.svg.png
1979–80,BFC Dynamo,1,East Germany,23px-Flag_of_East_Germany.svg.png
1979–80,Strasbourg,1,France,23px-Flag_of_France.svg.png
1979–80,Celtic,1,Scotland,23px-Flag_of_Scotland.svg.png
1979–80,Hajduk Split,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1980–81,Liverpool,4,England,23px-Flag_of_England.svg.png
1980–81,Real Madrid,3,Spain,23px-Flag_of_Spain_%281977%E2%80%931981%29.svg.png
1980–81,Bayern Munich,2,West Germany,23px-Flag_of_Germany.svg.png
1980–81,Internazionale,2,Italy,23px-Flag_of_Italy.svg.png
1980–81,CSKA Sofia,1,Bulgaria,23px-Flag_of_Bulgaria_%281971%E2%80%931990%29.svg.png
1980–81,Baník Ostrava,1,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1980–81,Spartak Moscow,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1980–81,Red Star Belgrade,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1981–82,Aston Villa,4,England,23px-Flag_of_England.svg.png
1981–82,Bayern Munich,3,West Germany,23px-Flag_of_Germany.svg.png
1981–82,Anderlecht,2,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1981–82,CSKA Sofia,2,Bulgaria,23px-Flag_of_Bulgaria_%281971%E2%80%931990%29.svg.png
1981–82,Dynamo Kyiv,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1981–82,Red Star Belgrade,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1981–82,Liverpool,1,England,23px-Flag_of_England.svg.png
1981–82,Universitatea Craiova,1,Romania,23px-Flag_of_Romania_%281965%E2%80%931989%29.svg.png
1982–83,Hamburg,4,West Germany,23px-Flag_of_Germany.svg.png
1982–83,Juventus,3,Italy,23px-Flag_of_Italy.svg.png
1982–83,Real Sociedad,2,Spain,23px-Flag_of_Spain.svg.png
1982–83,Widzew Łódź,2,Poland,23px-Flag_of_Poland.svg.png
1982–83,Sporting CP,1,Portugal,23px-Flag_of_Portugal.svg.png
1982–83,Dynamo Kyiv,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1982–83,Aston Villa,1,England,23px-Flag_of_England.svg.png
1982–83,Liverpool,1,England,23px-Flag_of_England.svg.png
1983–84,Liverpool,4,England,23px-Flag_of_England.svg.png
1983–84,Roma,3,Italy,23px-Flag_of_Italy.svg.png
1983–84,Dinamo București,2,Romania,23px-Flag_of_Romania_%281965%E2%80%931989%29.svg.png
1983–84,Dundee United,2,Scotland,23px-Flag_of_Scotland.svg.png
1983–84,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
1983–84,Dinamo Minsk,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1983–84,Rapid Wien,1,Austria,23px-Flag_of_Austria.svg.png
1983–84,BFC Dynamo,1,East Germany,23px-Flag_of_East_Germany.svg.png
1984–85,Juventus,4,Italy,23px-Flag_of_Italy.svg.png
1984–85,Liverpool,3,England,23px-Flag_of_England.svg.png
1984–85,Bordeaux,2,France,23px-Flag_of_France.svg.png
1984–85,Panathinaikos,2,Greece,23px-Flag_of_Greece.svg.png
1984–85,Sparta Praha,1,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1984–85,Dnipro Dnipropetrovsk,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1984–85,Austria Wien,1,Austria,23px-Flag_of_Austria.svg.png
1984–85,IFK Göteborg,1,Sweden,23px-Flag_of_Sweden.svg.png
1985–86,Steaua București,4,Romania,23px-Flag_of_Romania_%281965%E2%80%931989%29.svg.png
1985–86,Barcelona,3,Spain,23px-Flag_of_Spain.svg.png
1985–86,Anderlecht,2,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1985–86,IFK Göteborg,2,Sweden,23px-Flag_of_Sweden.svg.png
1985–86,Bayern Munich,1,West Germany,23px-Flag_of_Germany.svg.png
1985–86,Kuusysi,1,Finland,23px-Flag_of_Finland.svg.png
1985–86,Aberdeen,1,Scotland,23px-Flag_of_Scotland.svg.png
1985–86,Juventus,1,Italy,23px-Flag_of_Italy.svg.png
